id,y,x
"1","-7","503"
"2","-47","504"
"3","-78","503"
"4","-81","462"
"5","-79","418"
"6","-76","366"
"7","-74","318"
"8","-77","275"
"9","-76","229"
"10","-73","174"
"11","-70","124"
"12","-72","75"
"13","-124","77"
"14","-180","80"
"15","-222","78"
"16","-291","82"
"17","-351","86"
"18","-397","83"
"19","-447","84"
"20","-480","84"
"21","-523","83"
"22","-555","84"
"23","-597","85"
"24","-629","84"
"25","-666","86"
"26","-731","84"
"27","-787","84"
"28","-737","142"
"29","-736","194"
"30","-735","244"
"31","-738","294"
"32","-727","341"
"33","-729","416"
"34","-727","475"
"35","-727","524"
"36","-729","588"
"37","-765","640"
"38","-730","642"
"39","-701","642"
"40","-659","624"
"41","-630","622"
"42","-596","621"
"43","-548","622"
"44","-522","624"
"45","-485","624"
"46","-452","624"
"47","-421","624"
"48","-384","611"
"49","-352","610"
"50","-318","609"
"51","-283","606"
"52","-207","604"
"23","-207","564"
"53","-141","580"
"54","-78","573"
"55","-13","571"
"56","-206","141"
"57","-206","189"
"58","-204","242"
"59","-204","293"
"60","-205","346"
"61","-207","419"
"62","-158","418"
"63","-256","429"
"64","-305","432"
"65","-335","356"
"66","-331","286"
"67","-336","240"
"68","-333","191"
"69","-331","142"
"70","-411","190"
"71","-450","189"
"72","-485","191"
"73","-517","192"
"74","-554","192"
"75","-589","191"
"76","-628","190"
"77","-669","193"
"78","-667","292"
"79","-618","294"
"80","-583","290"
"81","-550","292"
"82","-520","294"
"83","-484","293"
"84","-446","293"
"85","-412","292"
"86","-414","394"
"87","-450","394"
"88","-486","394"
"89","-518","391"
"90","-554","391"
"91","-590","392"
"92","-631","392"
"93","-669","394"
"94","-669","500"
"95","-619","499"
"96","-587","501"
"97","-551","504"
"98","-517","508"
"99","-478","508"
"100","-447","508"
"100","-406","508"
"101","-348","507"
"102","-346","446"
"103","-345","560"
"104","-300","561"
"105","-146","231"
